iter	Passed	Remaining
0	172	51437
1	177	26397
2	180	17894
3	185	13690
4	188	11128
5	191	9398
6	194	8152
7	198	7257
8	201	6527
9	204	5941
10	207	5457
11	210	5059
12	214	4728
13	217	4442
14	220	4188
15	223	3964
16	226	3767
17	230	3611
18	233	3460
19	236	3316
20	239	3186
21	242	3068
22	247	2978
23	250	2878
24	253	2784
25	256	2698
26	259	2619
27	263	2562
28	267	2496
29	270	2431
30	273	2369
31	276	2312
32	280	2268
33	283	2216
34	286	2167
35	289	2120
36	292	2078
37	296	2041
38	299	2001
39	302	1963
40	305	1926
41	308	1893
42	312	1865
43	315	1832
44	317	1801
45	320	1771
46	324	1744
47	328	1722
48	331	1695
49	333	1669
50	336	1644
51	340	1621
52	343	1601
53	346	1578
54	349	1556
55	352	1535
56	355	1515
57	359	1500
58	362	1482
59	365	1463
60	368	1444
61	371	1426
62	375	1413
63	378	1396
64	381	1379
65	384	1363
66	387	1348
67	391	1336
68	395	1324
69	399	1311
70	402	1298
71	406	1288
72	410	1276
73	414	1264
74	417	1252
75	421	1240
76	424	1229
77	427	1217
78	430	1205
79	434	1194
80	439	1188
81	443	1178
82	447	1169
83	451	1160
84	455	1151
85	458	1141
86	462	1131
87	465	1121
88	469	1113
89	473	1104
90	477	1095
91	480	1086
92	484	1077
93	488	1069
94	491	1061
95	495	1052
96	498	1044
97	504	1039
98	510	1036
99	513	1027
100	561	1105
101	569	1105
102	578	1106
103	585	1104
104	590	1096
105	594	1087
106	598	1078
107	604	1073
108	611	1070
109	619	1069
110	622	1060
111	626	1051
112	629	1042
113	636	1038
114	641	1031
115	644	1021
116	647	1012
117	653	1008
118	657	999
119	659	989
120	662	980
121	667	974
122	670	965
123	674	957
124	677	948
125	682	941
126	685	933
127	688	925
128	692	918
129	696	910
130	699	902
131	702	894
132	704	884
133	707	876
134	711	869
135	714	862
136	717	854
137	720	846
138	723	838
139	727	831
140	731	825
141	734	817
142	737	810
143	740	802
144	743	795
145	748	789
146	750	781
147	753	774
148	756	766
149	760	760
150	781	771
151	785	764
152	787	757
153	790	749
154	794	742
155	797	736
156	800	728
157	803	721
158	805	714
159	810	708
160	813	702
161	816	695
162	819	688
163	822	681
164	826	676
165	830	670
166	832	662
167	835	656
168	837	649
169	841	643
170	844	637
171	848	631
172	851	624
173	854	618
174	858	612
175	861	607
176	865	601
177	868	595
178	871	589
179	876	584
180	879	578
181	882	572
182	885	566
183	889	560
184	893	555
185	896	549
186	899	543
187	902	537
188	907	533
189	910	527
190	915	522
191	918	516
192	922	511
193	926	506
194	929	500
195	931	494
196	934	488
197	938	483
198	942	478
199	944	472
200	947	466
201	950	461
202	954	455
203	957	450
204	961	445
205	964	440
206	967	434
207	972	430
208	975	424
209	978	419
210	981	413
211	984	408
212	988	403
213	991	398
214	994	393
215	997	387
216	1000	382
217	1005	378
218	1009	373
219	1012	368
220	1016	363
221	1022	359
222	1025	354
223	1029	349
224	1032	344
225	1038	340
226	1042	335
227	1045	330
228	1048	325
229	1058	322
230	1061	317
231	1065	312
232	1071	307
233	1074	302
234	1077	297
235	1080	292
236	1083	287
237	1087	283
238	1089	278
239	1092	273
240	1095	268
241	1099	263
242	1103	258
243	1106	253
244	1108	248
245	1111	244
246	1114	239
247	1118	234
248	1121	229
249	1124	224
250	1127	220
251	1130	215
252	1134	210
253	1138	206
254	1141	201
255	1144	196
256	1147	191
257	1151	187
258	1154	182
259	1157	178
260	1160	173
261	1164	168
262	1168	164
263	1171	159
264	1174	155
265	1176	150
266	1180	145
267	1184	141
268	1187	136
269	1190	132
270	1193	127
271	1197	123
272	1200	118
273	1203	114
274	1206	109
275	1209	105
276	1214	100
277	1217	96
278	1220	91
279	1223	87
280	1226	82
281	1231	78
282	1234	74
283	1237	69
284	1240	65
285	1243	60
286	1247	56
287	1251	52
288	1254	47
289	1257	43
290	1260	38
291	1264	34
292	1267	30
293	1270	25
294	1273	21
295	1276	17
296	1280	12
297	1283	8
298	1286	4
299	1289	0
